CPM_CASE_QUERY	CASE_DESCRIBE	案例描述
CPM_CASE_QUERY	DEAL_STEP	处理方法步骤
CPM_CASE_QUERY	REMARK	备注
CPM_CASE_QUERY	DEPART_ID	创建部门
CPM_CASE_QUERY	CREAT_PERSON	创建人
CPM_CASE_QUERY	CREAT_TIME	创建时间
CPM_CASE_QUERY	AREA_ID	所属地域
CPM_CASE_QUERY	IS_SHARE	是否共享，枚举类型，1-是；0-否；
CPM_CASE_SHEET	CASE_ID	案例ID
CPM_CASE_SHEET	SHEET_ID	工单ID
CPM_CASE_SHEET	SHEET_TYPE_ID	工单类型ID
CPM_CASE_SHEET	SHEET_CODE	工单流水号
CPM_CASE_SHEET	FLAG	枚举类型：1-客户问题单；2-服务补救单；3-管理督办单
CPM_COMMON_ALARM	ROW_ID	ROW_ID
CPM_COMMON_ALARM	TASK_ID	任务ID
CPM_COMMON_ALARM	ALARM_CODE	提醒编码，枚举值：1-将要超时提醒；2-超时提醒；3-催单提醒；
CPM_COMMON_ALARM	CONTENT	提醒内容
CPM_COMMON_ALARM	RELATE_ID	关联ID
CPM_COMMON_TASK_DATA	ROW_ID	主键ID
CPM_COMMON_TASK_DATA	FLOW_INSTANCE_ID	流程实例ID
CPM_COMMON_TASK_DATA	FLOW_ID	流程定义ID
CPM_COMMON_TASK_DATA	FLOW_VERSION	流程定义版本号
CPM_COMMON_TASK_DATA	TASK_CODE	流水号
CPM_COMMON_TASK_DATA	TASK_CATEGORY	任务类别
CPM_COMMON_TASK_DATA	AREA_ID	所属地域
CPM_COMMON_TASK_DATA	ACCEPT_USER	受理人
CPM_COMMON_TASK_DATA	ACCEPT_AGENT_CODE	受理人工号
CPM_COMMON_TASK_DATA	ACCEPT_DEPARTMENT	受理部门
CPM_COMMON_TASK_DATA	CREATE_TIME	创建时间
CPM_COMMON_TASK_DATA	SUBMIT_TIME	提交时间
CPM_COMMON_TASK_DATA	REMARK	备注
CPM_COMMON_TASK_DATA	STATUS	generalCode表中CodeType=COMMEN_TASK_STATUS,暂存、处理中、结束
CPM_COMMON_TASK_DATA	LAST_MODIFIER	修改人
CPM_COMMON_TASK_DATA	LAST_MODIFY_TIME	修改时间
CPM_COMMON_TASK_DATA	ENTITY_VERSION	实体版本号
CPM_COMMON_TASK_DATA	DOMAIN_ID	租户ID
CPM_COMMON_TASK_DATA	IS_VALID	删除标识
CPM_COMMON_TASK_DATA	STRING1	文本字段1
CPM_COMMON_TASK_DATA	STRING2	文本字段2
CPM_COMMON_TASK_DATA	STRING3	文本字段3
CPM_COMMON_TASK_DATA	STRING4	文本字段4
CPM_COMMON_TASK_DATA	STRING5	文本字段5
CPM_COMMON_TASK_DATA	STRING6	文本字段6
CPM_COMMON_TASK_DATA	STRING7	文本字段7
CPM_COMMON_TASK_DATA	STRING8	文本字段8
CPM_COMMON_TASK_DATA	STRING9	文本字段9
CPM_COMMON_TASK_DATA	STRING10	文本字段10
CPM_COMMON_TASK_DATA	STRING11	文本字段11
